ASSET_ID,DIVISION_NAME,LOCATION_DESCRIPTION,TOILET_TYPE_TEXT,Location
TOLT85,RENDEZVOUS CREEK,ORRORAL VALLEY,MANUAL STYLE ABLUTION BLOCK,"(-35.629150, 148.955167)"
TOLT90,RENDEZVOUS CREEK,OFF OLD BOBOYAN ROAD,PIT TOILET,"(-35.775309, 148.958640)"
TOLT79,STROMLO (RURAL),CASUARINA SANDS PICNIC AREA,MANUAL STYLE ABLUTION BLOCK,"(-35.319852, 148.953700)"
TOLT80,STROMLO (RURAL),CASAURINA SANDS NORTH,MANUAL STYLE ABLUTION BLOCK,"(-35.319294, 148.959765)"
TOLT101,STROMLO (RURAL),URIARRA EAST,MANUAL STYLE ABLUTION BLOCK,"(-35.250073, 148.952205)"
TOLT117,TENNENT,BOOROOMBAH ROCKS CAMPGROUND,PIT TOILET,"(-35.567425, 148.993356)"
TOLT116,TENNENT,HONEYSUCKLE CAMPGROUND,MANUAL STYLE ABLUTION BLOCK,"(-35.583110, 148.974686)"
TOLT103,THARWA,THARWA,MANUAL STYLE ABLUTION BLOCK,"(-35.509224, 149.069445)"
TOLT104,THARWA,THARWA,MANUAL STYLE ABLUTION BLOCK,"(-35.509358, 149.066798)"
TOLT115,TUGGERANONG (RURAL),ANGEL CROSSING,MANUAL STYLE ABLUTION BLOCK,"(-35.583573, 149.109603)"
TOLT108,TUGGERANONG (RURAL),PINE ISLAND SOUTH,MANUAL STYLE ABLUTION BLOCK,"(-35.431855, 149.065664)"
TOLT98,TUGGERANONG (RURAL),KAMBAH POOL SOUTH CARPARK,MANUAL STYLE ABLUTION BLOCK,"(-35.397829, 149.011048)"
TOLT99,TUGGERANONG (RURAL),NUDE BEACH - KAMBAH POOL,MANUAL STYLE ABLUTION BLOCK,"(-35.394361, 149.009275)"
TOLT105,TUGGERANONG (RURAL),POINT HUT,MANUAL STYLE ABLUTION BLOCK,"(-35.452390, 149.075546)"
TOLT107,TUGGERANONG (RURAL),PINE ISLAND CENTRAL,MANUAL STYLE ABLUTION BLOCK,"(-35.428028, 149.062259)"
TOLT106,TUGGERANONG (RURAL),PINE ISLAND NORTH,MANUAL STYLE ABLUTION BLOCK,"(-35.425631, 149.054726)"
TOLT52,YARRALUMLA,YARRALUMLA SHOPPING CENTRE,MANUAL STYLE ABLUTION BLOCK,"(-35.307226, 149.097161)"
TOLT55,YARRALUMLA,WESTON PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.296940, 149.089446)"
TOLT57,YARRALUMLA,WESTON PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.292601, 149.091561)"
TOLT53,YARRALUMLA,ALEXANDRINA DRIVE - PEDESTRIAN PARKLAND,MANUAL STYLE ABLUTION BLOCK,"(-35.300313, 149.117079)"
TOLT61,YARRALUMLA,WESTON PARK,AUTOMATED SYSTEM EG EXCELOO BRAND TOILET,"(-35.293513, 149.093934)"
TOLT56,YARRALUMLA,YARRALUMLA BAY DISTRICT PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.299276, 149.102962)"
TOLT62,YARRALUMLA,LENNOX GARDENS,AUTOMATED SYSTEM EG EXCELOO BRAND TOILET,"(-35.297489, 149.122904)"
TOLT58,YARRALUMLA,WESTON PARK,MANUAL STYLE ABLUTION BLOCK,"(-35.291947, 149.089768)"
